Region,Latitude,Longitude,Year,Pass_Percentage,Level
Agra,27.1767,78.0081,2016,99.72,10
Ahmedabad,23.0225,72.5714,2016,99.59,10
Bangalore,12.9716,77.5946,2016,99.98,10
Bhopal,23.2599,77.4126,2016,100.0,10
Bhubaneshwar,20.2961,85.8245,2016,99.82,10
Chandigarh,30.7333,76.7794,2016,99.92,10
Chennai,13.0827,80.2707,2016,99.89,10
Dehradun,30.3165,78.0322,2016,99.73,10
Delhi,28.7041,77.1025,2016,99.83,10
Ernakulam,9.9312,76.2673,2016,100.0,10
Gurgaon,28.4595,77.0266,2016,99.69,10
Guwahati,26.1445,91.7362,2016,99.93,10
Hyderabad,17.385,78.4867,2016,100.0,10
Jabalpur,23.1815,79.9864,2016,99.78,10
Jaipur,26.9124,75.7873,2016,99.98,10
Jammu,32.7266,74.857,2016,99.95,10
Kolkata,22.5726,88.3639,2016,98.94,10
Lucknow,26.8467,80.9462,2016,99.9,10
Mumbai,19.076,72.8777,2016,99.65,10
Patna,25.5941,85.1376,2016,98.69,10
Raipur,21.2514,81.6296,2016,99.45,10
Ranchi,23.3441,85.3096,2016,99.96,10
Silchar,24.8333,92.7789,2016,99.59,10
Tinsukia,27.4924,95.355,2016,99.26,10
Varanasi,25.3176,82.9739,2016,99.82,10
Agra,27.1767,78.0081,2017,96.58,10
Ahmedabad,23.0225,72.5714,2017,94.26,10
Bangalore,12.9716,77.5946,2017,99.2,10
Bhopal,23.2599,77.4126,2017,95.13,10
Bhubaneshwar,20.2961,85.8245,2017,96.97,10
Chandigarh,30.7333,76.7794,2017,95.9,10
Chennai,13.0827,80.2707,2017,98.36,10
Dehradun,30.3165,78.0322,2017,96.87,10
Delhi,28.7041,77.1025,2017,97.02,10
Ernakulam,9.9312,76.2673,2017,99.84,10
Gurgaon,28.4595,77.0266,2017,96.57,10
Guwahati,26.1445,91.7362,2017,92.56,10
Hyderabad,17.385,78.4867,2017,96.32,10
Jabalpur,23.1815,79.9864,2017,95.24,10
Jaipur,26.9124,75.7873,2017,96.84,10
Jammu,32.7266,74.857,2017,96.91,10
Kolkata,22.5726,88.3639,2017,93.77,10
Lucknow,26.8467,80.9462,2017,93.77,10
Mumbai,19.076,72.8777,2017,96.24,10
Patna,25.5941,85.1376,2017,98.94,10
Raipur,21.2514,81.6296,2017,98.98,10
Ranchi,23.3441,85.3096,2017,92.69,10
Silchar,24.8333,92.7789,2017,95.15,10
Tinsukia,27.4924,95.355,2017,85.31,10
Varanasi,25.3176,82.9739,2017,95.09,10
Agra,27.1767,78.0081,2018,99.77,10
Ahmedabad,23.0225,72.5714,2018,99.17,10
Bangalore,12.9716,77.5946,2018,99.92,10
Bhopal,23.2599,77.4126,2018,99.27,10
Bhubaneshwar,20.2961,85.8245,2018,99.64,10
Chandigarh,30.7333,76.7794,2018,99.74,10
Chennai,13.0827,80.2707,2018,99.78,10
Dehradun,30.3165,78.0322,2018,99.53,10
Delhi,28.7041,77.1025,2018,99.79,10
Ernakulam,9.9312,76.2673,2018,99.98,10
Gurgaon,28.4595,77.0266,2018,99.85,10
Guwahati,26.1445,91.7362,2018,99.03,10
Hyderabad,17.385,78.4867,2018,99.93,10
Jabalpur,23.1815,79.9864,2018,99.26,10
Jaipur,26.9124,75.7873,2018,99.67,10
Jammu,32.7266,74.857,2018,99.61,10
Kolkata,22.5726,88.3639,2018,99.41,10
Lucknow,26.8467,80.9462,2018,99.26,10
Mumbai,19.076,72.8777,2018,98.94,10
Patna,25.5941,85.1376,2018,98.98,10
Raipur,21.2514,81.6296,2018,99.61,10
Ranchi,23.3441,85.3096,2018,98.85,10
Silchar,24.8333,92.7789,2018,99.39,10
Tinsukia,27.4924,95.355,2018,96.6,10
Varanasi,25.3176,82.9739,2018,99.17,10
Agra,27.1767,78.0081,2019,99.08,10
Ahmedabad,23.0225,72.5714,2019,99.19,10
Bangalore,12.9716,77.5946,2019,99.59,10
Bhopal,23.2599,77.4126,2019,99.13,10
Bhubaneshwar,20.2961,85.8245,2019,99.74,10
Chandigarh,30.7333,76.7794,2019,99.34,10
Chennai,13.0827,80.2707,2019,99.67,10
Dehradun,30.3165,78.0322,2019,99.8,10
Delhi,28.7041,77.1025,2019,99.38,10
Ernakulam,9.9312,76.2673,2019,99.82,10
Gurgaon,28.4595,77.0266,2019,99.57,10
Guwahati,26.1445,91.7362,2019,99.14,10
Hyderabad,17.385,78.4867,2019,99.98,10
Jabalpur,23.1815,79.9864,2019,98.69,10
Jaipur,26.9124,75.7873,2019,99.41,10
Jammu,32.7266,74.857,2019,98.76,10
Kolkata,22.5726,88.3639,2019,99.55,10
Lucknow,26.8467,80.9462,2019,98.27,10
Mumbai,19.076,72.8777,2019,98.47,10
Patna,25.5941,85.1376,2019,98.87,10
Raipur,21.2514,81.6296,2019,98.45,10
Ranchi,23.3441,85.3096,2019,98.8,10
Silchar,24.8333,92.7789,2019,99.78,10
Tinsukia,27.4924,95.355,2019,98.77,10
Varanasi,25.3176,82.9739,2019,98.98,10
Agra,27.1767,78.0081,2020,100.0,10
Ahmedabad,23.0225,72.5714,2020,100.0,10
Bangalore,12.9716,77.5946,2020,100.0,10
Bhopal,23.2599,77.4126,2020,100.0,10
Bhubaneshwar,20.2961,85.8245,2020,100.0,10
Chandigarh,30.7333,76.7794,2020,100.0,10
Chennai,13.0827,80.2707,2020,100.0,10
Dehradun,30.3165,78.0322,2020,100.0,10
Delhi,28.7041,77.1025,2020,99.99,10
Ernakulam,9.9312,76.2673,2020,100.0,10
Gurgaon,28.4595,77.0266,2020,100.0,10
Guwahati,26.1445,91.7362,2020,100.0,10
Hyderabad,17.385,78.4867,2020,100.0,10
Jabalpur,23.1815,79.9864,2020,100.0,10
