State,Students_Appeared,Students_Qualified,Latitude,Longitude,Year,Pass_Percentage,Level,Literacy_Rate
Andaman and Nicobar Islands,220,220,11.7401,92.6586,2025,100.0,10,
Andhra Pradesh,2594,2594,15.9129,79.74,2025,100.0,10,67
Arunachal Pradesh,3972,3929,28.218,94.7278,2025,98.92,10,65.4
Assam,688,667,26.2006,92.9376,2025,96.95,10,72.2
Bihar,4283,4252,25.0961,85.3131,2025,99.28,10,61.8
Chandigarh,747,747,30.7333,76.7794,2025,100.0,10,86
Chhattisgarh,2529,2515,21.2787,81.8661,2025,99.45,10,70.3
Dadra and Nagar Haveli and Daman and Diu,130,130,20.3974,72.8328,2025,100.0,10,
Delhi,9259,9233,28.7041,77.1025,2025,99.72,10,86.2
Goa,379,375,15.2993,74.124,2025,98.94,10,88.7
Gujarat,3047,3000,22.2587,71.1924,2025,98.46,10,78
Haryana,2444,2436,29.0588,76.0856,2025,99.67,10,75.6
Himachal Pradesh,1159,1158,31.1048,77.1734,2025,99.91,10,82.8
Jammu and Kashmir,2229,2227,33.7782,76.5762,2025,99.91,10,
Jharkhand,2649,2632,23.6102,85.2799,2025,99.36,10,66.4
Karnataka,5241,5232,15.3173,75.7139,2025,99.83,10,75.4
Kerala,4397,4397,10.8505,76.2711,2025,100.0,10,94
Ladakh,58,58,34.1526,77.5771,2025,100.0,10,
Lakshadweep,13,13,10.5667,72.6417,2025,100.0,10,91.8
Madhya Pradesh,8335,8309,22.9734,78.6569,2025,99.69,10,69.3
Maharashtra,6418,6332,19.7515,75.7139,2025,98.66,10,82.3
Manipur,399,385,24.6637,93.9063,2025,96.49,10,
Meghalaya,345,341,25.467,91.3662,2025,98.84,10,74.4
Mizoram,145,114,23.1645,92.9376,2025,99.31,10,91.3
Nagaland,94,94,26.1584,94.5624,2025,100.0,10,79.6
Odisha,5187,5145,20.9517,85.0985,2025,99.19,10,72.9
Puducherry,378,373,11.9416,79.8083,2025,98.68,10,85.8
Punjab,3273,3262,31.1471,75.3412,2025,99.66,10,75.8
Rajasthan,5201,5170,27.0238,74.2179,2025,99.4,10,66.1
Sikkim,50,50,27.533,88.5122,2025,100.0,10,81.4
Tamil Nadu,4905,4903,11.1271,78.6569,2025,99.96,10,80.1
Telangana,3253,3253,18.1124,79.0193,2025,100.0,10,
Tripura,560,553,23.9408,91.9882,2025,98.75,10,87.2
Uttar Pradesh,13095,13038,26.8467,80.9462,2025,99.56,10,67.7
Uttarakhand,3219,3215,30.0668,79.0193,2025,99.88,10,78.8
West Bengal,5661,5595,22.9868,87.855,2025,98.83,10,76.3
KVS (HQ),70,70,,,2025,100.0,10,
Andaman and Nicobar Islands,220,220,11.7401,92.6586,2024,99.56,10,
Andhra Pradesh,2594,2594,15.9129,79.74,2024,99.77,10,67
Arunachal Pradesh,3972,3929,28.218,94.7278,2024,95.81,10,65.4
Assam,688,667,26.2006,92.9376,2024,98.24,10,72.2
Bihar,4283,4252,25.0961,85.3131,2024,96.91,10,61.8
Chandigarh,747,747,30.7333,76.7794,2024,99.13,10,86
Chhattisgarh,2529,2515,21.2787,81.8661,2024,99.55,10,70.3
Dadra and Nagar Haveli and Daman and Diu,130,130,20.3974,72.8328,2024,99.0,10,
Delhi,9259,9233,28.7041,77.1025,2024,99.66,10,86.2
Goa,379,375,15.2993,74.124,2024,99.44,10,88.7
Gujarat,3047,3000,22.2587,71.1924,2024,99.23,10,78
Haryana,2444,2436,29.0588,76.0856,2024,99.26,10,75.6
Himachal Pradesh,1159,1158,31.1048,77.1734,2024,99.58,10,82.8
Jammu and Kashmir,2229,2227,33.7782,76.5762,2024,99.42,10,
Jharkhand,2649,2632,23.6102,85.2799,2024,99.02,10,66.4
Karnataka,5241,5232,15.3173,75.7139,2024,99.85,10,75.4
Kerala,4397,4397,10.8505,76.2711,2024,99.98,10,94
Ladakh,58,58,34.1526,77.5771,2024,100.0,10,
Lakshadweep,13,13,10.5667,72.6417,2024,100.0,10,91.8
Madhya Pradesh,8335,8309,22.9734,78.6569,2024,98.33,10,69.3
Maharashtra,6418,6332,19.7515,75.7139,2024,96.88,10,82.3
Manipur,399,385,24.6637,93.9063,2024,98.36,10,
Meghalaya,345,341,25.467,91.3662,2024,100.0,10,74.4
Mizoram,145,114,23.1645,92.9376,2024,100.0,10,91.3
Nagaland,94,94,26.1584,94.5624,2024,94.32,10,79.6
Odisha,5187,5145,20.9517,85.0985,2024,98.83,10,72.9
Puducherry,378,373,11.9416,79.8083,2024,100.0,10,85.8
Punjab,3273,3262,31.1471,75.3412,2024,99.51,10,75.8
Rajasthan,5201,5170,27.0238,74.2179,2024,99.66,10,66.1
Sikkim,50,50,27.533,88.5122,2024,100.0,10,81.4
Tamil Nadu,4905,4903,11.1271,78.6569,2024,99.57,10,80.1
Telangana,3253,3253,18.1124,79.0193,2024,99.78,10,
Tripura,560,553,23.9408,91.9882,2024,100.0,10,87.2
Uttar Pradesh,13095,13038,26.8467,80.9462,2024,99.46,10,67.7
Uttarakhand,3219,3215,30.0668,79.0193,2024,99.94,10,78.8
West Bengal,5661,5595,22.9868,87.855,2024,99.44,10,76.3
KVS (HQ),70,70,,,2024,100.0,10,
Andaman and Nicobar Islands,220,220,11.7401,92.6586,2023,96.58,10,
Andhra Pradesh,2594,2594,15.9129,79.74,2023,99.42,10,67
Arunachal Pradesh,3972,3929,28.218,94.7278,2023,94.77,10,65.4
Assam,688,667,26.2006,92.9376,2023,98.58,10,72.2
Bihar,4283,4252,25.0961,85.3131,2023,93.69,10,61.8
Chandigarh,747,747,30.7333,76.7794,2023,99.59,10,86
Chhattisgarh,2529,2515,21.2787,81.8661,2023,97.17,10,70.3
Dadra and Nagar Haveli and Daman and Diu,130,130,20.3974,72.8328,2023,99.13,10,
Delhi,9259,9233,28.7041,77.1025,2023,98.73,10,86.2
Goa,379,375,15.2993,74.124,2023,98.29,10,88.7
Gujarat,3047,3000,22.2587,71.1924,2023,98.05,10,78
Haryana,2444,2436,29.0588,76.0856,2023,98.49,10,75.6
Himachal Pradesh,1159,1158,31.1048,77.1734,2023,99.2,10,82.8
Jammu and Kashmir,2229,2227,33.7782,76.5762,2023,99.21,10,
Jharkhand,2649,2632,23.6102,85.2799,2023,95.77,10,66.4
Karnataka,5241,5232,15.3173,75.7139,2023,99.55,10,75.4
Kerala,4397,4397,10.8505,76.2711,2023,99.98,10,94
Ladakh,58,58,34.1526,77.5771,2023,100.0,10,
Lakshadweep,13,13,10.5667,72.6417,2023,100.0,10,91.8
Madhya Pradesh,8335,8309,22.9734,78.6569,2023,96.04,10,69.3
Maharashtra,6418,6332,19.7515,75.7139,2023,94.27,10,82.3
Manipur,399,385,24.6637,93.9063,2023,100.0,10,
Meghalaya,345,341,25.467,91.3662,2023,99.09,10,74.4
Mizoram,145,114,23.1645,92.9376,2023,100.0,10,91.3
Nagaland,94,94,26.1584,94.5624,2023,100.0,10,79.6
Odisha,5187,5145,20.9517,85.0985,2023,99.05,10,72.9
Puducherry,378,373,11.9416,79.8083,2023,99.08,10,85.8
Punjab,3273,3262,31.1471,75.3412,2023,98.46,10,75.8
Rajasthan,5201,5170,27.0238,74.2179,2023,99.1,10,66.1
Sikkim,50,50,27.533,88.5122,2023,100.0,10,81.4
Tamil Nadu,4905,4903,11.1271,78.6569,2023,99.48,10,80.1
Telangana,3253,3253,18.1124,79.0193,2023,99.53,10,
Tripura,560,553,23.9408,91.9882,2023,99.37,10,87.2
Uttar Pradesh,13095,13038,26.8467,80.9462,2023,98.07,10,67.7
Uttarakhand,3219,3215,30.0668,79.0193,2023,99.12,10,78.8
West Bengal,5661,5595,22.9868,87.855,2023,99.11,10,76.3
KVS (HQ),70,70,,,2023,97.67,10,
Andaman and Nicobar Islands,220,220,11.7401,92.6586,2022,95.1,10,
Andhra Pradesh,2594,2594,15.9129,79.74,2022,99.93,10,67
Arunachal Pradesh,3972,3929,28.218,94.7278,2022,95.98,10,65.4
Assam,688,667,26.2006,92.9376,2022,97.31,10,72.2
Bihar,4283,4252,25.0961,85.3131,2022,97.95,10,61.8
Chandigarh,747,747,30.7333,76.7794,2022,97.08,10,86
Chhattisgarh,2529,2515,21.2787,81.8661,2022,96.4,10,70.3
Dadra and Nagar Haveli and Daman and Diu,130,130,20.3974,72.8328,2022,93.57,10,
Delhi,9259,9233,28.7041,77.1025,2022,97.07,10,86.2
Goa,379,375,15.2993,74.124,2022,97.58,10,88.7
Gujarat,3047,3000,22.2587,71.1924,2022,93.82,10,78
Haryana,2444,2436,29.0588,76.0856,2022,95.98,10,75.6
Himachal Pradesh,1159,1158,31.1048,77.1734,2022,95.24,10,82.8
Jammu and Kashmir,2229,2227,33.7782,76.5762,2022,99.21,10,
Jharkhand,2649,2632,23.6102,85.2799,2022,95.6,10,66.4
Karnataka,5241,5232,15.3173,75.7139,2022,99.0,10,75.4
Kerala,4397,4397,10.8505,76.2711,2022,99.74,10,94
Ladakh,58,58,34.1526,77.5771,2022,95.65,10,
Lakshadweep,13,13,10.5667,72.6417,2022,100.0,10,91.8
Madhya Pradesh,8335,8309,22.9734,78.6569,2022,92.43,10,69.3
Maharashtra,6418,6332,19.7515,75.7139,2022,92.6,10,82.3
Manipur,399,385,24.6637,93.9063,2022,97.9,10,
Meghalaya,345,341,25.467,91.3662,2022,97.68,10,74.4
Mizoram,145,114,23.1645,92.9376,2022,98.6,10,91.3
Nagaland,94,94,26.1584,94.5624,2022,95.77,10,79.6
Odisha,5187,5145,20.9517,85.0985,2022,99.43,10,72.9
Puducherry,378,373,11.9416,79.8083,2022,97.63,10,85.8
Punjab,3273,3262,31.1471,75.3412,2022,97.84,10,75.8
Rajasthan,5201,5170,27.0238,74.2179,2022,98.62,10,66.1
Sikkim,50,50,27.533,88.5122,2022,95.16,10,81.4
Tamil Nadu,4905,4903,11.1271,78.6569,2022,97.79,10,80.1
Telangana,3253,3253,18.1124,79.0193,2022,99.84,10,
Tripura,560,553,23.9408,91.9882,2022,98.15,10,87.2
Uttar Pradesh,13095,13038,26.8467,80.9462,2022,94.75,10,67.7
Uttarakhand,3219,3215,30.0668,79.0193,2022,97.91,10,78.8
West Bengal,5661,5595,22.9868,87.855,2022,96.86,10,76.3
KVS (HQ),70,70,,,2022,91.4,10,
Andaman and Nicobar Islands,220,220,11.7401,92.6586,2021,100.0,10,
Andhra Pradesh,2594,2594,15.9129,79.74,2021,100.0,10,67
Arunachal Pradesh,3972,3929,28.218,94.7278,2021,99.73,10,65.4
Assam,688,667,26.2006,92.9376,2021,100.0,10,72.2
Bihar,4283,4252,25.0961,85.3131,2021,100.0,10,61.8
Chandigarh,747,747,30.7333,76.7794,2021,100.0,10,86
Chhattisgarh,2529,2515,21.2787,81.8661,2021,100.0,10,70.3
Dadra and Nagar Haveli and Daman and Diu,130,130,20.3974,72.8328,2021,100.0,10,
Delhi,9259,9233,28.7041,77.1025,2021,99.99,10,86.2
Goa,379,375,15.2993,74.124,2021,100.0,10,88.7
Gujarat,3047,3000,22.2587,71.1924,2021,100.0,10,78
Haryana,2444,2436,29.0588,76.0856,2021,100.0,10,75.6
Himachal Pradesh,1159,1158,31.1048,77.1734,2021,100.0,10,82.8
Jammu and Kashmir,2229,2227,33.7782,76.5762,2021,100.0,10,
Jharkhand,2649,2632,23.6102,85.2799,2021,100.0,10,66.4
Karnataka,5241,5232,15.3173,75.7139,2021,100.0,10,75.4
Kerala,4397,4397,10.8505,76.2711,2021,100.0,10,94
Ladakh,58,58,34.1526,77.5771,2021,100.0,10,
Lakshadweep,13,13,10.5667,72.6417,2021,100.0,10,91.8
Madhya Pradesh,8335,8309,22.9734,78.6569,2021,100.0,10,69.3
Maharashtra,6418,6332,19.7515,75.7139,2021,100.0,10,82.3
Manipur,399,385,24.6637,93.9063,2021,100.0,10,
Meghalaya,345,341,25.467,91.3662,2021,100.0,10,74.4
Mizoram,145,114,23.1645,92.9376,2021,100.0,10,91.3
Nagaland,94,94,26.1584,94.5624,2021,100.0,10,79.6
Odisha,5187,5145,20.9517,85.0985,2021,100.0,10,72.9
Puducherry,378,373,11.9416,79.8083,2021,100.0,10,85.8
Punjab,3273,3262,31.1471,75.3412,2021,100.0,10,75.8
Rajasthan,5201,5170,27.0238,74.2179,2021,100.0,10,66.1
Sikkim,50,50,27.533,88.5122,2021,100.0,10,81.4
Tamil Nadu,4905,4903,11.1271,78.6569,2021,100.0,10,80.1
Telangana,3253,3253,18.1124,79.0193,2021,100.0,10,
Tripura,560,553,23.9408,91.9882,2021,100.0,10,87.2
Uttar Pradesh,13095,13038,26.8467,80.9462,2021,100.0,10,67.7
Uttarakhand,3219,3215,30.0668,79.0193,2021,100.0,10,78.8
West Bengal,5661,5595,22.9868,87.855,2021,100.0,10,76.3
KVS (HQ),70,70,,,2021,100.0,10,
Andaman and Nicobar Islands,231,231,11.7401,92.6586,2025,100.0,12,
Andhra Pradesh,821,820,15.9129,79.74,2025,99.98,12,67
Arunachal Pradesh,3267,3246,28.218,94.7278,2025,99.36,12,65.4
Assam,479,467,26.2006,92.9376,2025,97.49,12,72.2
Bihar,2031,2026,25.0961,85.3131,2025,99.75,12,61.8
Chandigarh,615,605,30.7333,76.7794,2025,98.37,12,86
Chhattisgarh,2046,2019,21.2787,81.8661,2025,98.68,12,70.3
Dadra and Nagar Haveli and Daman and Diu,97,97,20.3974,72.8328,2025,100.0,12,
Delhi,8071,7499,28.7041,77.1025,2025,99.11,12,86.2
Goa,240,240,15.2993,74.124,2025,100.0,12,88.7
Gujarat,2034,1997,22.2587,71.1924,2025,98.18,12,78
Haryana,2108,2102,29.0588,76.0856,2025,99.72,12,75.6
Himachal Pradesh,940,933,31.1048,77.1734,2025,99.26,12,82.8
Jammu and Kashmir,1451,1449,33.7782,76.5762,2025,99.86,12,
Jharkhand,1696,1694,23.6102,85.2799,2025,99.88,12,66.4
Karnataka,1824,1811,15.3173,75.7139,2025,99.29,12,75.4
Kerala,3303,3300,10.8505,76.2711,2025,99.91,12,94
Ladakh,118,118,34.1526,77.5771,2025,100.0,12,
Lakshadweep,12,12,10.5667,72.6417,2025,100.0,12,91.8
Madhya Pradesh,5403,5361,22.9734,78.6569,2025,99.22,12,69.3
Maharashtra,2869,2844,19.7515,75.7139,2025,99.13,12,82.3
Manipur,336,332,24.6637,93.9063,2025,99.81,12,
Meghalaya,324,321,25.467,91.3662,2025,99.07,12,74.4
Mizoram,114,114,23.1645,92.9376,2025,100.0,12,91.3
Nagaland,101,100,26.1584,94.5624,2025,99.01,12,79.6
Odisha,3033,2943,20.9517,85.0985,2025,97.03,12,72.9
Puducherry,178,174,11.9416,79.8083,2025,97.75,12,85.8
Punjab,2483,2469,31.1471,75.3412,2025,99.44,12,75.8
Rajasthan,4083,4066,27.0238,74.2179,2025,99.58,12,66.1
Sikkim,74,74,27.533,88.5122,2025,100.0,12,81.4
Tamil Nadu,3134,3062,11.1271,78.6569,2025,97.7,12,80.1
Telangana,1064,1064,18.1124,79.0193,2025,100.0,12,
Tripura,355,331,23.9408,91.9882,2025,93.24,12,87.2
Uttar Pradesh,10359,10291,26.8467,80.9462,2025,99.34,12,67.7
Uttarakhand,3200,3173,30.0668,79.0193,2025,99.16,12,78.8
West Bengal,4956,4867,22.9868,87.855,2025,98.2,12,76.3
KVS (HQ),132,132,,,2025,100.0,12,
Andaman and Nicobar Islands,231,231,11.7401,92.6586,2024,100.0,12,
Andhra Pradesh,821,820,15.9129,79.74,2024,100.0,12,67
Arunachal Pradesh,3267,3246,28.218,94.7278,2024,97.99,12,65.4
Assam,479,467,26.2006,92.9376,2024,99.01,12,72.2
Bihar,2031,2026,25.0961,85.3131,2024,99.25,12,61.8
Chandigarh,615,605,30.7333,76.7794,2024,98.68,12,86
Chhattisgarh,2046,2019,21.2787,81.8661,2024,99.07,12,70.3
Dadra and Nagar Haveli and Daman and Diu,97,97,20.3974,72.8328,2024,100.0,12,
Delhi,8071,7499,28.7041,77.1025,2024,99.27,12,86.2
Goa,240,240,15.2993,74.124,2024,100.0,12,88.7
Gujarat,2034,1997,22.2587,71.1924,2024,99.06,12,78
Haryana,2108,2102,29.0588,76.0856,2024,99.54,12,75.6
Himachal Pradesh,940,933,31.1048,77.1734,2024,99.14,12,82.8
Jammu and Kashmir,1451,1449,33.7782,76.5762,2024,99.38,12,
Jharkhand,1696,1694,23.6102,85.2799,2024,99.52,12,66.4
Karnataka,1824,1811,15.3173,75.7139,2024,99.35,12,75.4
Kerala,3303,3300,10.8505,76.2711,2024,99.94,12,94
Ladakh,118,118,34.1526,77.5771,2024,100.0,12,
Lakshadweep,12,12,10.5667,72.6417,2024,100.0,12,91.8
Madhya Pradesh,5403,5361,22.9734,78.6569,2024,97.61,12,69.3
Maharashtra,2869,2844,19.7515,75.7139,2024,97.55,12,82.3
Manipur,336,332,24.6637,93.9063,2024,100.0,12,
Meghalaya,324,321,25.467,91.3662,2024,98.07,12,74.4
Mizoram,114,114,23.1645,92.9376,2024,100.0,12,91.3
Nagaland,101,100,26.1584,94.5624,2024,100.0,12,79.6
Odisha,3033,2943,20.9517,85.0985,2024,97.44,12,72.9
Puducherry,178,174,11.9416,79.8083,2024,99.45,12,85.8
Punjab,2483,2469,31.1471,75.3412,2024,99.22,12,75.8
Rajasthan,4083,4066,27.0238,74.2179,2024,99.27,12,66.1
Sikkim,74,74,27.533,88.5122,2024,100.0,12,81.4
Tamil Nadu,3134,3062,11.1271,78.6569,2024,98.75,12,80.1
Telangana,1064,1064,18.1124,79.0193,2024,99.83,12,
Tripura,355,331,23.9408,91.9882,2024,99.4,12,87.2
Uttar Pradesh,10359,10291,26.8467,80.9462,2024,98.54,12,67.7
Uttarakhand,3200,3173,30.0668,79.0193,2024,99.77,12,78.8
West Bengal,4956,4867,22.9868,87.855,2024,97.24,12,76.3
KVS (HQ),132,132,,,2024,100.0,12,
Andaman and Nicobar Islands,231,231,11.7401,92.6586,2023,96.69,12,
Andhra Pradesh,821,820,15.9129,79.74,2023,99.57,12,67
Arunachal Pradesh,3267,3246,28.218,94.7278,2023,97.69,12,65.4
Assam,479,467,26.2006,92.9376,2023,96.74,12,72.2
Bihar,2031,2026,25.0961,85.3131,2023,92.51,12,61.8
Chandigarh,615,605,30.7333,76.7794,2023,95.35,12,86
Chhattisgarh,2046,2019,21.2787,81.8661,2023,83.94,12,70.3
Dadra and Nagar Haveli and Daman and Diu,97,97,20.3974,72.8328,2023,87.84,12,
